,Player,height,weight,college,born,birth_city,birth_state
0,Curly Armstrong,180,77,Indiana University,1918,,
1,Cliff Barker,188,83,University of Kentucky,1921,Yorktown,Indiana
2,Leo Barnhorst,193,86,University of Notre Dame,1924,,
3,Ed Bartels,196,88,North Carolina State University,1925,,
4,Ralph Beard,178,79,University of Kentucky,1927,Hardinsburg,Kentucky
5,Gene Berce,180,79,Marquette University,1926,,
6,Charlie Black,196,90,University of Kansas,1921,Arco,Idaho
7,Nelson Bobb,183,77,Temple University,1924,Philadelphia,Pennsylvania
8,Jake Bornheimer,196,90,Muhlenberg College,1927,New Brunswick,New Jersey
9,Vince Boryla,196,95,University of Denver,1927,East Chicago,Indiana
10,Don Boven,193,95,Western Michigan University,1925,Kalamazoo,Michigan
11,Harry Boykoff,208,102,St. John's University,1922,Brooklyn,New York
12,Joe Bradley,190,79,Oklahoma State University,1928,Washington,Oklahoma
13,Bob Brannum,196,97,Michigan State University,1925,,
14,Carl Braun,196,81,Colgate University,1927,Brooklyn,New York
15,Frankie Brian,185,81,Louisiana State University,1923,Zachary,Louisiana
16,Price Brookfield,193,83,West Texas A&M University,1920,Floydada,Texas
17,Bob Brown,193,92,Miami University,1923,Versailles,Ohio
18,Jim Browne,208,106,,1930,Midlothian,Illinois
19,Walt Budko,196,99,Columbia University,1925,Kearney,New Jersey
20,Jack Burmaster,190,86,University of Illinois at Urbana-Champaign,1926,,
